grievance,urgency
"in our locality, people are drinking contaminated water and residents are facing problems",CRITICAL
main report karna chahta hoon ki hamare area mein koi street light kaam nahi kar rahi hai aur residents ko problem ho rahi hai,HIGH
"hamare locality mein, park ki bench ko paint karna hai aur residents ko problem ho rahi hai",LOW
hamare area mein problem hai ki scholarship release nahi hui hai kai dino se,HIGH
I want to report that toilet door is broken and residents are facing problems,MEDIUM
"please help, roaad par exposed electric wire pada hai aur residents ko problem ho rahi hai",CRITICAL
"कृपया मदद करें, सार्वजनिक टॉयलेट कई दिनों से इस्तेमाल नहीं हो रहा है हमारे इलाके में",HIGH
"कृपया मदद करें, इलाके में पीने का पानी उपलब्ध नहीं है कई दिनों से",HIGH
"mere ghar ke paas, park railing ki repair chahiye aur residents ko problem ho rahi hai",LOW
मैं शिकायत करना चाहता हूं कि पार्क की दीवार पर पेंट करने की जरूरत है और लोगों को परेशानी हो रही है,LOW
"near my house, public toilet needs repair please resolve this",MEDIUM
हमारे इलाके में समस्या है कि पार्क की बेंच पर पेंट करने की जरूरत है,LOW
park gate needs minor repair for many days,LOW
"mere ghar ke paas, public toilet ki repair chahiye please action lein",MEDIUM
"near my house, name board is damaged",LOW
drinking water is contaminated and residents are facing problems,CRITICAL
"near my house, main road is badly damaged please take action",HIGH
"please action lein, drinking water contaminated hai",CRITICAL
"please take action, no street light is working in our area in our area",HIGH
there is a problem where major accident caused by damaged road please take action,CRITICAL
"हमारे इलाके में, सार्वजनिक शौचालय बहुत गंदा है कई दिनों से",HIGH
"हमारे इलाके में, पार्क की लाइट ठीक से काम नहीं कर रही है कृपया कार्रवाई करें",MEDIUM
"please action lein, toilet ka door toot gaya hai kai dino se",MEDIUM
there is a problem where toilet is dirty and unusable for many days,HIGH
"कृपया मदद करें, सड़क पर कई छोटी दरारें हैं और लोगों को परेशानी हो रही है",MEDIUM
"कृपया कार्रवाई करें, पार्क की दीवार पर पेंट करने की जरूरत है कृपया कार्रवाई करें",LOW
"near my house, many potholes are present on the main roaad",HIGH
"please take action, park gate needs minor repair and residents are facing problems",LOW
"कृपया कार्रवाई करें, नाम का बोर्ड खराब है",LOW
"mere ghar ke paas, ek dustbin kharab hai kai dino se",LOW
"in our locality, public bench is old please resolve this",LOW
"hamare locality mein, road par exposed electric wire pada hai please action lein",CRITICAL
"mere ghar ke paas, road completely damaged ho gayi hai hamare area mein",HIGH
मैं शिकायत करना चाहता हूं कि रिहायशी इलाके के पास गैस लीक हो रही है कई दिनों से,CRITICAL
"hamare locality mein, footpath mein chhota crack hai hamare area mein",LOW
सड़क पर कई छोटी दरारें हैं,MEDIUM
"hamare locality mein, log contaminated wter pee rahe hain kai dino se",CRITICAL
"कृपया मदद करें, स्ट्रीट लाइट बार-बार झपक रही है",MEDIUM
major accident caused by damaged roaad,CRITICAL
"कृपया मदद करें, स्कॉलरशिप आवेदन की स्थिति अपडेट नहीं हुई है और लोगों को परेशानी हो रही है",MEDIUM
"please action lein, public washroom bahut dirty hai hamare area mein",HIGH
सरकारी इमारत में आग लगने की आपात स्थिति है कई दिनों से,CRITICAL
"please help, log contaminated water pee rahe hain hamare area mein",CRITICAL
"हमारे इलाके में, फुटपाथ में छोटी दरार है",LOW
"please help, public washroom is very dirty and residents are facing problems",HIGH
"please help, main rod par bahut saare potholes hain please ise resolve karein",HIGH
"mere ghar ke paas, log contaminated water pee rahe hain hamare area mein",CRITICAL
हमारे इलाके में समस्या है कि पीने का पानी दूषित है कृपया कार्रवाई करें,CRITICAL
"near my house, scholarship application status is not updated for many days",MEDIUM
"please help, street sign faded ho gaya hai please ise resolve karein",LOW
hamare area mein problem hai ki scholarshp release nahi hui hai kai dino se,HIGH
हमारे इलाके में समस्या है कि रिहायशी इलाके के पास गैस लीक हो रही है कृपया इसे जल्द हल करें,CRITICAL
garbage collection regular nahi hai,MEDIUM
"कृपया मदद करें, पार्क की बेंच पर पेंट करने की जरूरत है कई दिनों से",LOW
"please action lein, park railing ki repair chahiye kai dino se",LOW
hamare area mein problem hai ki drinking watr contaminated hai kai dino se,CRITICAL
"please action lein, garbej collection regular nahi hai please ise resolve karein",MEDIUM
हमारे इलाके में समस्या है कि पार्क की रेलिंग की मरम्मत करनी है और लोगों को परेशानी हो रही है,LOW
सड़क का साइन बोर्ड धुंधला है,LOW
मैं शिकायत करना चाहता हूं कि बड़े गड्ढों के कारण वाहनों को परेशानी हो रही है कई दिनों से,HIGH
"please take action, street light near my house is not working in our area",MEDIUM
"please take action, drainage needs cleaning",MEDIUM
"please action lein, scholarship application ka status update nahi hua aur residents ko problem ho rahi hai",MEDIUM
main report karna chahta hoon ki road completely damaged ho gayi hai aur residents ko problem ho rahi hai,HIGH
"मेरे घर के पास, खतरनाक बिजली का खंभा गिरने वाला है कई दिनों से",CRITICAL
main report karna chahta hoon ki water supply regular nahi hai aur residents ko problem ho rahi hai,MEDIUM
"please help, shcool ke paas open manhole hai kai dino se",CRITICAL
park lights are not working properly for many days,MEDIUM
"in our locality, street light near my house is not working for many days",MEDIUM
hamare area mein problem hai ki drinking water contaminated hai please action lein,CRITICAL
"कृपया मदद करें, नाली की सफाई की जरूरत है और लोगों को परेशानी हो रही है",MEDIUM
"hamare locality mein, road par exposed electric wire pada hai aur residents ko problem ho rahi hai",CRITICAL
I want to report that water supply is irregular in our area,MEDIUM
बच्चे खुले मैनहोल के खतरे में हैं कई दिनों से,CRITICAL
"please action lein, dangerous electric pole girne wala hai aur residents ko problem ho rahi hai",CRITICAL
"mere ghar ke paas, road par kai small cracks hain please ise resolve karein",MEDIUM
main report karna chahta hoon ki hamare area mein koi strete light kaam nahi kar rahi hai kai dino se,HIGH
हमारे इलाके में समस्या है कि बच्चे खुले मैनहोल के खतरे में हैं कृपया इसे जल्द हल करें,CRITICAL
"mere ghar ke paas, log contaminated watr pee rahe hain please action lein",CRITICAL
"कृपया मदद करें, नाली की सफाई की जरूरत है",MEDIUM
"हमारे इलाके में, नाली की सफाई की जरूरत है और लोगों को परेशानी हो रही है",MEDIUM
सार्वजनिक इमारत में आग लगी है,CRITICAL
"please help, residential area ke paas gas leak ho rahi hai",CRITICAL
main report karna chahta hoon ki public washroom bahut dirty hai kai dino se,HIGH
हमारे इलाके में समस्या है कि कूड़ेदान कभी-कभी भर जाता है कृपया कार्रवाई करें,MEDIUM
live electric wire has fallen onto the street,CRITICAL
"hamare locality mein, residential area ke paas gas leak ho rahi hai hamare area mein",CRITICAL
"in our locality, toilet door is broken in our area",MEDIUM
main report karna chahta hoon ki street light flicker kar rahi hai kai dino se,MEDIUM
"please take action, scholarship has not been released",HIGH
"मेरे घर के पास, पार्क की बेंच पर पेंट करने की जरूरत है और लोगों को परेशानी हो रही है",LOW
"mere ghar ke paas, mere ghar ke paas street light kaam nahi kar rahi hai aur residents ko problem ho rahi hai",MEDIUM
"near my house, park lights are not working properly",MEDIUM
there is a problem where fire emergency in a government building please resolve this,CRITICAL
"हमारे इलाके में, नाली की सफाई की जरूरत है कई दिनों से",MEDIUM
stret sign faded ho gaya hai aur residents ko problem ho rahi hai,LOW
"please help, garbage has not been collected for many days please take action",HIGH
"please help, park gate needs minor repair please resolve this",LOW
"कृपया मदद करें, मुख्य सड़क पर सीवेज का पानी बह रहा है और लोगों को परेशानी हो रही है",CRITICAL
"please action lein, main rod badly damaged hai",HIGH
drainage needs cleaning,MEDIUM
"हमारे इलाके में, हमारे इलाके में पानी की सप्लाई नहीं है कई दिनों से",HIGH
I want to report that street light is flickering please resolve this,MEDIUM
"please help, scholarship application ka status update nahi hua hamare area mein",MEDIUM
"in our locality, park lights are not working properly please take action",MEDIUM
नाम का बोर्ड खराब है,LOW
"please take action, footpath has a small crack and residents are facing problems",LOW
hamare area mein problem hai ki street sign faded ho gaya hai please action lein,LOW
hamare area mein problem hai ki name board kharab hai please action lein,LOW
I want to report that sewage water is overflowing on the main road,CRITICAL
sewage water is overflowing on the main road for many days,CRITICAL
"मेरे घर के पास, मुख्य सड़क पर बहुत सारे गड्ढे हैं कृपया इसे जल्द हल करें",HIGH
"please help, rod has several small cracks please take action",MEDIUM
मैं शिकायत करना चाहता हूं कि रिहायशी इमारतों के पास कूड़ा जमा हो रहा है कई दिनों से,HIGH
"please help, name board kharab hai please ise resolve karein",LOW
"हमारे इलाके में, कूड़ा उठाने की व्यवस्था नियमित नहीं है कई दिनों से",MEDIUM
हमारे इलाके में समस्या है कि सरकारी इमारत में आग लगने की आपात स्थिति है,CRITICAL
"near my house, toilet is dirty and unusable",HIGH
मैं शिकायत करना चाहता हूं कि पार्क की बेंच पर पेंट करने की जरूरत है कई दिनों से,LOW
मुख्य सड़क पर सीवेज का पानी बह रहा है कृपया इसे जल्द हल करें,CRITICAL
"please take action, water supply is irregular please resolve this",MEDIUM
there is a problem where park gate needs minor repair in our area,LOW
main report karna chahta hoon ki hamare area mein koi street ligt kaam nahi kar rahi hai hamare area mein,HIGH
"please help, toilt is dirty and unusable in our area",HIGH
"hamare locality mein, drainage ki cleaning chahiye kai dino se",MEDIUM
"कृपया मदद करें, सार्वजनिक टॉयलेट की मरम्मत करनी है",MEDIUM
"please help, garbej is piling up near residential buildings",HIGH
I want to report that no street light is working in our area for many days,HIGH
"कृपया मदद करें, सार्वजनिक टॉयलेट कई दिनों से इस्तेमाल नहीं हो रहा है कई दिनों से",HIGH
"हमारे इलाके में, बच्चे खुले मैनहोल के खतरे में हैं कृपया इसे जल्द हल करें",CRITICAL
"please take action, gas leak near residential area please take action",CRITICAL
"मेरे घर के पास, पार्क की रेलिंग की मरम्मत करनी है",LOW
"please take action, public toilt needs repair for many days",MEDIUM
हमारे इलाके में समस्या है कि पार्क के गेट की छोटी मरम्मत करनी है हमारे इलाके में,LOW
people are drinking contaminated watr and residents are facing problems,CRITICAL
I want to report that public toilet has been unusable for several days for many days,HIGH
मैं शिकायत करना चाहता हूं कि मुख्य सड़क बहुत खराब हो गई है हमारे इलाके में,HIGH
"mere ghar ke paas, park ki wall ko paint karna hai please ise resolve karein",LOW
"please take action, dangerous electric pole is about to fall please take action",CRITICAL
"please action lein, area mein drinking water available nahi hai",HIGH
"in our locality, public toilt needs repair please resolve this",MEDIUM
"mere ghar ke paas, toilet dirty hai aur use nahi ho sakta",HIGH
"कृपया कार्रवाई करें, सरकारी इमारत में आग लगने की आपात स्थिति है कई दिनों से",CRITICAL
"कृपया कार्रवाई करें, खतरनाक बिजली का खंभा गिरने वाला है",CRITICAL
"कृपया कार्रवाई करें, सार्वजनिक इमारत में आग लगी है और लोगों को परेशानी हो रही है",CRITICAL
"in our locality, sewage water is overflowing on the main roaad and residents are facing problems",CRITICAL
"near my house, fire emergency in a government building for many days",CRITICAL
I want to report that scholarship application status is not updated in our area,MEDIUM
main report karna chahta hoon ki name board kharab hai kai dino se,LOW
park bench needs painting and residents are facing problems,LOW
"near my house, park railing needs repair for many days",LOW
main report karna chahta hoon ki toilet ka door toot gaya hai hamare area mein,MEDIUM
there is a problem where fire in a public building,CRITICAL
fire emergency in a government building,CRITICAL
"mere ghar ke paas, drinking wter contaminated hai kai dino se",CRITICAL
hamare area mein problem hai ki park ki bench ko paint karna hai aur residents ko problem ho rahi hai,LOW
"please action lein, toilet ka door toot gaya hai please action lein",MEDIUM
main report karna chahta hoon ki name board kharab hai kai dino se,LOW
मैं शिकायत करना चाहता हूं कि सार्वजनिक इमारत में आग लगी है हमारे इलाके में,CRITICAL
"near my house, park bench needs painting please take action",LOW
मैं शिकायत करना चाहता हूं कि मेरे घर के पास स्ट्रीट लाइट काम नहीं कर रही है,MEDIUM
hamare area mein problem hai ki park railing ki repair chahiye please action lein,LOW
मैं शिकायत करना चाहता हूं कि टॉयलेट गंदा है और इस्तेमाल करने लायक नहीं है कृपया इसे जल्द हल करें,HIGH
"please take action, children are exposed to an open manhole please resolve this",CRITICAL
"hamare locality mein, garbge collection regular nahi hai kai dino se",MEDIUM
"please action lein, park lights properly kaam nahi kar rahi hain",MEDIUM
"hamare locality mein, garbge bin kabhi kabhi overflow ho jata hai hamare area mein",MEDIUM
नाम का बोर्ड खराब है,LOW
"मेरे घर के पास, पार्क के गेट की छोटी मरम्मत करनी है कई दिनों से",LOW
"hamare locality mein, park ki bench ko paint karna hai",LOW
हमारे इलाके में समस्या है कि स्कॉलरशिप आवेदन की स्थिति अपडेट नहीं हुई है और लोगों को परेशानी हो रही है,MEDIUM
there is a problem where public toilet has been unusable for several days for many days,HIGH
I want to report that garbge collection is irregular please take action,MEDIUM
हमारे इलाके में समस्या है कि सार्वजनिक बेंच पुरानी है कृपया इसे जल्द हल करें,LOW
hamare area mein problem hai ki scholarship application ka status update nahi hua aur residents ko problem ho rahi hai,MEDIUM
पानी की सप्लाई नियमित नहीं है कृपया कार्रवाई करें,MEDIUM
main report karna chahta hoon ki road par exposed electric wire pada hai aur residents ko problem ho rahi hai,CRITICAL
खतरनाक बिजली का खंभा गिरने वाला है और लोगों को परेशानी हो रही है,CRITICAL
I want to report that public toilet has been unusable for several days please take action,HIGH
"please help, children open manhole ke danger mein hain",CRITICAL
"hamare locality mein, garbage bin kabhi kabhi overflow ho jata hai aur residents ko problem ho rahi hai",MEDIUM
"कृपया मदद करें, स्कॉलरशिप जारी नहीं हुई है कृपया इसे जल्द हल करें",HIGH
"please take action, stret light is flickering for many days",MEDIUM
"please help, park ki wall ko paint karna hai aur residents ko problem ho rahi hai",LOW
"near my house, many potholes are present on the main road for many days",HIGH
park lights are not working properly please resolve this,MEDIUM
one dustbin is damaged for many days,LOW
मैं शिकायत करना चाहता हूं कि मेरे घर के पास स्ट्रीट लाइट काम नहीं कर रही है हमारे इलाके में,MEDIUM
"in our locality, scholarship application status is not updated please resolve this",MEDIUM
main report karna chahta hoon ki name board kharab hai hamare area mein,LOW
"कृपया कार्रवाई करें, मुख्य सड़क पर बहुत सारे गड्ढे हैं कृपया कार्रवाई करें",HIGH
"कृपया मदद करें, रिहायशी इलाके के पास गैस लीक हो रही है कई दिनों से",CRITICAL
hamare area mein problem hai ki kai dino se garbage collect nahi hua hai,HIGH
"मेरे घर के पास, टॉयलेट का दरवाजा टूटा हुआ है हमारे इलाके में",MEDIUM
"कृपया मदद करें, सड़क पर कई छोटी दरारें हैं और लोगों को परेशानी हो रही है",MEDIUM
there is a problem where no strete light is working in our area,HIGH
"in our locality, major accident caused by damaged road",CRITICAL
"हमारे इलाके में, सार्वजनिक शौचालय बहुत गंदा है कई दिनों से",HIGH
"in our locality, dangerous electric pole is about to fall for many days",CRITICAL
"mere ghar ke paas, main road par sewage wter overflow ho raha hai",CRITICAL
