grievance_id,text,category
GRV102100,"महोदय, PDS shop Bhopal mein gehu aur chawal is mahine bilkul nahi mila, dealer bahana bana raha hai.",Ration & Public Distribution System
GRV101472,"Namaste sir, Illegal encroachment aur jua Napier Town mohalle mein khule aam chal raha hai, police mook drashak bani hai. Please take urgent action.",Police & Law and Order
GRV101669,"Sir/Madam, सरकारी अस्पताल Kanpur में दवाइयां उपलब्ध नहीं हैं, बाहर से खरीदनी पड़ रही है। Bahut pareshaan hain hum log.",Healthcare & Hospitals
GRV101736,"Dear officer, Free treatment scheme card ban gaya lekin hospital Kanpur mein accept nahi kar rahe. Bahut pareshaan hain hum log.",Healthcare & Hospitals
GRV101973,"Respected Sir, स्कूल Jaipur में शौचालय की स्थिति बहुत खराब है, बच्चियां स्कूल आने से कतरा रही हैं।",Education & Schools
GRV100795,"मेरी पीएफ की राशि 5000 रुपए अभी तक ट्रांसफर नहीं हुई, 15 din हो गए आवेदन दिए।",Pension & Provident Fund
GRV102276,"Sir/Madam, Fraud transaction 5000 rupaye ka Madan Mahal branch account se hua hai, turant jaanch karwaye. Kripya jald samadhan karein.",Banking & Financial Services
GRV100977,"सेवानिवृत्ति के बाद पेंशन खाता Gwalior में अपडेट नहीं हुआ, a month से चक्कर काट रहे हैं। Otherwise we will protest.",Pension & Provident Fund
GRV100538,"पुलिया Raipur में बारिश में डूब जाती है हर साल, स्थायी समाधान चाहिए। Please take urgent action.",Roads & Infrastructure
GRV100992,"Namaste sir, मेरी पीएफ की राशि 1500 रुपए अभी तक ट्रांसफर नहीं हुई, a month हो गए आवेदन दिए। Bahut pareshaan hain hum log.",Pension & Provident Fund
GRV102790,"Namaste sir, बेरोजगारी भत्ता Patna employment office se one week से नहीं मिला आवेदन के बावजूद।",Employment & Labour
GRV101963,"छात्र का प्रमाण पत्र Kotwali area स्कूल से 3 days से नहीं मिल रहा, दाखिले में दिक्कत हो रही है। Sadar naman.",Education & Schools
GRV102151,गरीब परिवारों को Model Town राशन दुकान से चीनी और तेल कई महीनों से नहीं मिल रहा। Kripya jald samadhan karein.,Ration & Public Distribution System
GRV100376,"Sir/Madam, बिजली का खंभा टूट कर सड़क पर गिरा है Gandhi Nagar में, दुर्घटना हो सकती है, कृपया जल्दी हटवाएं। Kripya jald samadhan karein.",Electricity
GRV100570,"महोदय, Footpath Ward 12 mein encroachment ho gaya hai, pedestrians ko sadak par chalna padta hai. कृपया जल्द कार्रवाई करें।",Roads & Infrastructure
GRV100237,"बिजली का बिल 500 रुपए गलत आया है Sector 7 पते पर, इसे ठीक करवाएं।",Electricity
GRV101576,"Sir/Madam, आयुष्मान कार्ड Sector 7 अस्पताल में मान्य नहीं किया जा रहा, मरीज को इलाज से मना कर दिया। Please take urgent action.",Healthcare & Hospitals
GRV101879,"Dear officer, Teacher transfer Jaipur school se two weeks pehle hua tha, replacement abhi tak nahi mila, class khali padi hai. Otherwise we will protest.",Education & Schools
GRV102976,"Namaste sir, OBC certificate Varanasi tehsil se renew karwana tha, 1 mahine se application stuck h portal par. कृपया जल्द कार्रवाई करें।",Municipal Certificates
GRV100661,"Sewage line Kotwali area mein block ho gayi hai, ghar ke andar gandi nali ka kachra bhar raha hai. Kripya jald samadhan karein.",Sanitation & Garbage
GRV102628,Government scheme ka labh Kavita Singh ko Kotwali area mein tabhi mila jab 1000 rupaye commission diya. Thank you.,Corruption & Bribery
GRV100959,"Respected Sir, EPF transfer Lucknow regional office se 1 mahine se atka hai, naya employer wait kar raha hai. Bahut pareshaan hain hum log.",Pension & Provident Fund
GRV101128,"Dear officer, मेरी जमीन का सीमांकन Civil Lines में गलत हो गया है, पड़ोसी ने कब्जा कर लिया है। Otherwise we will protest.",Land Records & Revenue
GRV102962,"Dear officer, निवास प्रमाण पत्र Adhartal कार्यालय से बनवाने में 5 din लग गए, अभी तक हाथ में नहीं मिला। Otherwise we will protest.",Municipal Certificates
GRV102412,"महोदय, बैंक Raipur में सरकारी योजना का पैसा 3000 रुपए अभी तक जमा नहीं हुआ। Bahut pareshaan hain hum log.",Banking & Financial Services
GRV100368,"Transformer blast ho gaya Ward 12 mein, area mein bijli nahi hai a month se, jaldi replace karwaye. Kripya jald samadhan karein.",Electricity
GRV102969,"Income certificate online apply Jaipur portal par kiya tha, 15 din se status pending dikha raha hai.",Municipal Certificates
GRV100674,"गंदगी की वजह से Varanasi में मक्खी मच्छर बहुत बढ़ गए हैं, महामारी फैलने का डर है। Kripya jald samadhan karein.",Sanitation & Garbage
GRV101539,"Respected Sir, Ambulance Indore bulane par 2 hafte ghante late aayi, emergency case tha. Thank you.",Healthcare & Hospitals
GRV102433,"भ्रष्ट अधिकारी Bhopal में बिना घूस लिए फाइल आगे नहीं बढ़ाता, कई बार शिकायत कर चुके हैं। Kripya jald samadhan karein.",Corruption & Bribery
GRV102157,"Respected Sir, Ration dukan Jabalpur mein tay samay par nahi khulti, logo ko baar baar chakkar lagana padta hai. Thank you.",Ration & Public Distribution System
GRV103081,"Sir/Madam, Caste certificate Nagpur tehsil office mein 1 hafta se pending hai, admission ki last date nikal rahi hai. Thank you.",Municipal Certificates
GRV100083,"Dear officer, Hamare Ranchi mohalle mein pichle 10 din se paani nahi aa raha hai, jaldi thik karwaye. Sadar naman.",Water Supply
GRV103039,"महोदय, Domicile certificate Sector 7 mein 3 days se atka hua h, job application ki deadline nikal rahi hai. Kripya jald samadhan karein.",Municipal Certificates
GRV100806,"Respected Sir, PF withdrawal request 10 din se pending hai, office se koi response nahi mil raha. Sadar naman.",Pension & Provident Fund
GRV100529,"Dear officer, No streetlight on the main road of Wright Town, very unsafe at night for 20 din now. Thank you.",Roads & Infrastructure
GRV101154,"Sir/Madam, Land record mein Rajesh Verma ka naam galat likha hai, correction chahiye 20 din se request kar raha hoon.",Land Records & Revenue
GRV101253,"भू-अभिलेख में गलती है, कृपया तहसीलदार Patna को निर्देश दें ठीक करने का। Please take urgent action.",Land Records & Revenue
GRV100366,"Respected Sir, बिजली का बिल 3000 रुपए गलत आया है Indore पते पर, इसे ठीक करवाएं। Otherwise we will protest.",Electricity
GRV101022,"Dear officer, मेरी जमीन का सीमांकन Jaipur में गलत हो गया है, पड़ोसी ने कब्जा कर लिया है।",Land Records & Revenue
GRV102726,"महोदय, MGNREGA ki mazdoori two weeks se nahi mili Napier Town panchayat mein, ghar chalana mushkil ho gaya hai.",Employment & Labour
GRV101900,"छात्र का प्रमाण पत्र Raipur स्कूल से 15 din से नहीं मिल रहा, दाखिले में दिक्कत हो रही है। Please take urgent action.",Education & Schools
GRV101352,"Respected Sir, मोहल्ले में Indore में असामाजिक तत्वों का आतंक है, रात को शराब पीकर हंगामा करते हैं। Thank you.",Police & Law and Order
GRV101336,"Sir/Madam, Illegal encroachment aur jua Jaipur mohalle mein khule aam chal raha hai, police mook drashak bani hai. Thank you.",Police & Law and Order
GRV103020,"Namaste sir, OBC certificate Shastri Colony tehsil se renew karwana tha, 10 din se application stuck hai portal par. Sadar naman.",Municipal Certificates
GRV101301,"Respected Sir, Chn snatching hui thi Bhopal mein, police ne case follow up nhi kiya.",Police & Law and Order
GRV101303,"Respected Sir, Illegal encroachment aur jua Madan Mahal mohalle mein khule aam chal raha hai, police mook drashak bani hai. Otherwise we will protest.",Police & Law and Order
GRV101065,"Dear officer, Patta zameen ka record Napier Town revenue office se galat show ho raha hai online portal par. कृपया जल्द कार्रवाई करें।",Land Records & Revenue
GRV101745,"छात्र का प्रमाण पत्र Gwalior स्कूल से 2 hafte से नहीं मिल रहा, दाखिले में दिक्कत हो रही है।",Education & Schools
GRV103009,"Dear officer, Character certificate Civil Lines police station se 15 din se pending hai, job joining rukh gayi hai. Please take urgent action.",Municipal Certificates
GRV101002,"Dear officer, EPF transfer Adhartal regional office se 1 mahine se atka hai, naya employer wait kar raha hai. Thank you.",Pension & Provident Fund
GRV102521,"भ्रष्ट अधिकारी Gwalior में बिना घूस लिए फाइल आगे नहीं बढ़ाता, कई बार शिकायत कर चुके हैं।",Corruption & Bribery
GRV100431,"सड़क Sector 7 में बहुत खराब हालत में है, बारिश में कीचड़ हो जाता है, मरम्मत करवाएं।",Roads & Infrastructure
GRV102760,"Sir/Madam, मनरेगा जॉब कार्ड Ward 12 में 15 din से नहीं बना, काम भी नहीं मिल रहा। Otherwise we will protest.",Employment & Labour
GRV100553,"Namaste sir, Footpath Gwalior mein encroachment ho gaya hai, pedestrians ko sadak par chalna padta hai. कृपया जल्द कार्रवाई करें।",Roads & Infrastructure
GRV102344,"Dear officer, बैंक Nagpur में सरकारी योजना का पैसा 10000 रुपए अभी तक जमा नहीं हुआ। Sadar naman.",Banking & Financial Services
GRV101944,"Sarkari school Adhartal mein 10 din se teacher nahi aa raha h, padhai band hai. Kripya jald samadhan karein.",Education & Schools
GRV102253,"Respected Sir, बैंक Bhopal में सरकारी योजना का पैसा 3000 रुपए अभी तक जमा नहीं हुआ। Bahut pareshaan hain hum log.",Banking & Financial Services
GRV102731,"महोदय, Construction site Kotwali area par bina helmet aur safety belt ke kaam karwaya ja raha h mazdooro se.",Employment & Labour
GRV101515,"अस्पताल Civil Lines में सफाई की बहुत खराब स्थिति है, संक्रमण फैलने का डर है। Bahut pareshaan hain hum log.",Healthcare & Hospitals
GRV101313,"Respected Sir, गुमशुदगी की रिपोर्ट Jaipur थाने में a month पहले दी थी, अभी तक कोई तलाश शुरू नहीं हुई। Bahut pareshaan hain hum log.",Police & Law and Order
GRV102137,"महोदय, Anaj ki quality Civil Lines ration dukan mein bahut kharab h, keede lage hue chawal mil rahe hain.",Ration & Public Distribution System
GRV101874,"School building Gwalior mein chhat tapakti hai barish mein, khatarnak sthiti hai. Otherwise we will protest.",Education & Schools
GRV102179,"Respected Sir, गरीबी रेखा राशन कार्ड Wright Town में गलत तरीके से रद्द कर दिया गया, फिर से चालू करवाएं। Please take urgent action.",Ration & Public Distribution System
GRV102961,"Respected Sir, Caste certificate Sector 7 tehsil office mein two weeks se pending hai, admission ki last date nikal rahi hai.",Municipal Certificates
GRV102013,"Fair price shop Gandhi Nagar mein weighing machine kharab hai, kam tola jata hai anaj. Kripya jald samadhan karein.",Ration & Public Distribution System
GRV100994,"Widow pension application Madan Mahal office mein submit kiya tha, 3 days se koi update nahi. Otherwise we will protest.",Pension & Provident Fund
GRV100186,"Sir humara water tanker Nagpur area mein nahi aata, complaint diye a month ho gaye.",Water Supply
GRV101137,"भू-अभिलेख में गलती है, कृपया तहसीलदार Sector 7 को निर्देश दें ठीक करने का। Kripya jald samadhan karein.",Land Records & Revenue
GRV100928,"PF withdrawal request 3 days se pending hai, office se koi response nahi mil raha. Thank you.",Pension & Provident Fund
GRV100001,"महोदय, पिछले 1 mahine से हमारे इलाके Gwalior में पानी की सप्लाई बंद है, कृपया जल्दी ठीक करवाएं। Bahut pareshaan hain hum log.",Water Supply
GRV102191,"Sir/Madam, ATM Kanpur mein 1 hafta se kharab h, paise nhi nikal pa raha koi. कृपया जल्द कार्रवाई करें।",Banking & Financial Services
GRV101282,"मोहल्ले में Sector 7 में असामाजिक तत्वों का आतंक है, रात को शराब पीकर हंगामा करते हैं। कृपया जल्द कार्रवाई करें।",Police & Law and Order
GRV100993,"Dear officer, Widow pension application Bhopal office mein submit kiya tha, 1 hafta se koi update nahi. Otherwise we will protest.",Pension & Provident Fund
GRV102906,"Namaste sir, EPFO complaint diya tha 20 din pehle, response nahi aaya Shastri Colony regional office se. Sadar naman.",Employment & Labour
GRV103040,"Caste certificate Wright Town tehsil office mein 1 hafta se pending hai, admission ki last date nikal rahi hai. Kripya jald samadhan karein.",Municipal Certificates
GRV101493,"Respected Sir, पुलिस थाना Bhopal में तैनात कर्मचारी रिश्वत मांग रहा है काम करने के लिए। Bahut pareshaan hain hum log.",Police & Law and Order
GRV101975,"Sarkari school Lucknow mein two weeks se teacher nahi aa raha hai, padhai band hai. कृपया जल्द कार्रवाई करें।",Education & Schools
GRV100082,"Dear officer, Sir humara water tanker Raipur area mein nahi aata, complaint diye 1 hafta ho gaye.",Water Supply
GRV102220,"Namaste sir, ATM Ranchi mein 2 hafte se kharab hai, paise nahi nikal pa raha koi. Bahut pareshaan hain hum log.",Banking & Financial Services
GRV100432,"महोदय, सड़क किनारे रेलिंग टूटी हुई है Raipur में, वाहन गिरने का खतरा बना हुआ है। Please take urgent action.",Roads & Infrastructure
GRV100991,"मेरी पीएफ की राशि 1500 रुपए अभी तक ट्रांसफर नहीं हुई, 5 din हो गए आवेदन दिए। Please take urgent action.",Pension & Provident Fund
GRV101015,"Dear officer, मेरी पीएफ की राशि 5000 रुपए अभी तक ट्रांसफर नहीं हुई, two weeks हो गए आवेदन दिए। Thank you.",Pension & Provident Fund
GRV100724,"Respected Sir, Kachra Kanpur colony ke khali plot mein daala ja raha hai, badbu aur bimari ka khatra hai. Sadar naman.",Sanitation & Garbage
GRV102101,"Sir/Madam, Ration card Lucknow dukan par is mahine anaj nahi mila, dealer mana kar raha hai. Please take urgent action.",Ration & Public Distribution System
GRV102680,"Namaste sir, श्रमिक कार्ड Civil Lines में 1 hafta से renewal ke liye pending hai, yojnaon ka labh nahi mil raha. Bahut pareshaan hain hum log.",Employment & Labour
GRV102650,"Dear officer, Clerk ne 3000 rupaye maange Indore office mein pension file aage badhane ke liye, ghoos lena band karwaye. Please take urgent action.",Corruption & Bribery
GRV102740,Construction site Ward 12 par bina helmet aur safety belt ke kaam karwaya ja raha h mazdooro se. Kripya jald samadhan karein.,Employment & Labour
GRV102001,"महोदय, Ration card Raipur mein digitally seeded nahi hai, isliye anaj milna band ho gaya hai. Thank you.",Ration & Public Distribution System
GRV102613,"महोदय, Government scheme ka labh Sunita Patel ko Wright Town mein tabhi mila jab 3000 rupaye commission diya. कृपया जल्द कार्रवाई करें।",Corruption & Bribery
GRV102048,"Dear officer, गरीबी रेखा राशन कार्ड Gwalior में गलत तरीके से रद्द कर दिया गया, फिर से चालू करवाएं।",Ration & Public Distribution System
GRV101661,"Namaste sir, Ambulance Jaipur bulane par one week ghante late aayi, emergency case tha. कृपया जल्द कार्रवाई करें।",Healthcare & Hospitals
GRV103063,"Dear officer, आय प्रमाण पत्र Ward 12 कार्यालय से 1 mahine में नहीं बना, बार बार चक्कर लगवाया जा रहा है। Sadar naman.",Municipal Certificates
GRV101570,"Primary health center Ranchi mein staff hi nahi hai one week se, gaon walo ko door jana padta hai ilaj ke liye. Thank you.",Healthcare & Hospitals
GRV102668,"Namaste sir, सरकारी दफ्तर Ranchi में बिना रिश्वत दिए कोई फाइल आगे नहीं बढ़ती। Sadar naman.",Corruption & Bribery
GRV100456,"Sir/Madam, पुलिया Ranchi में बारिश में डूब जाती है हर साल, स्थायी समाधान चाहिए। Bahut pareshaan hn hum log.",Roads & Infrastructure
GRV101691,"महोदय, अस्पताल Model Town में सफाई की बहुत खराब स्थिति है, संक्रमण फैलने का डर है। Otherwise we will protest.",Healthcare & Hospitals
GRV103051,"विवाह प्रमाण पत्र Shastri Colony नगर निगम से 1 mahine में नहीं मिला, दस्तावेज बार बार मांगे जा रहे हैं। Otherwise we will protest.",Municipal Certificates
GRV100049,"Sir/Madam, जल संकट Bhopal क्षेत्र में 5 din से गंभीर बना हुआ है, पानी के लिए दूर तक जाना पड़ रहा है। Please take urgent action.",Water Supply
GRV100833,"Dear officer, PF withdrawal request 1 hafta se pending hai, office se koi response nahi mil raha. Bahut pareshaan hain hum log.",Pension & Provident Fund
GRV100614,"Namaste sir, गंदगी की वजह से Kanpur में मक्खी मच्छर बहुत बढ़ गए हैं, महामारी फैलने का डर है। Otherwise we will protest.",Sanitation & Garbage
GRV101574,"Respected Sir, सरकारी अस्पताल Nagpur में दवाइयां उपलब्ध नहीं हैं, बाहर से खरीदनी पड़ रही है। Thank you.",Healthcare & Hospitals
GRV102067,गरीब परिवारों को Ranchi राशन दुकान से चीनी और तेल कई महीनों से नहीं मिल रहा। Bahut pareshaan hain hum log.,Ration & Public Distribution System
GRV102399,"ATM Napier Town mein 3 din se kharab hai, paise nahi nikal pa raha koi. Thank you.",Banking & Financial Services
GRV101902,"Sir/Madam, Sarkari school Ranchi mein 1 mahine se teacher nahi aa raha hai, padhai band hai.",Education & Schools
GRV101807,"Sir/Madam, School building Jaipur mein chhat tapakti hai barish mein, khatarnak sthiti hai. कृपया जल्द कार्रवाई करें।",Education & Schools
GRV102385,"मेरे खाते से 1500 रुपए गलत तरीके से कट गए Ward 12 शाखा से, वापस दिलवाएं। Sadar naman.",Banking & Financial Services
GRV101763,"Sir/Madam, Sarkari school Madan Mahal mein 10 din se teacher nahi aa raha hai, padhai band hai. Thank you.",Education & Schools
GRV102689,बेरोजगारी भत्ता Madan Mahal employment office se 3 din से नहीं मिला आवेदन के बावजूद। Kripya jald samadhan karein.,Employment & Labour
GRV100596,"गंदगी की वजह से Bhopal में मक्खी मच्छर बहुत बढ़ गए हैं, महामारी फैलने का डर है। Please take urgent action.",Sanitation & Garbage
GRV100088,"Borewell Ward 12 me kharab pada hai 10 din se, paani ki bahut dikkat ho rahi hai, koi repair nahi kar raha. कृपया जल्द कार्रवाई करें।",Water Supply
GRV103062,"Dear officer, Domicile certificate Ranchi mein two weeks se atka hua h, job application ki deadline nikal rahi hai. Otherwise we will protest.",Municipal Certificates
GRV100365,"Power cut every day in Madan Mahal for hours, complaint filed 2 hafte ago no action.",Electricity
GRV101595,"महोदय, Free treatment scheme card ban gaya lekin hospital Wright Town mein accept nahi kar rahe.",Healthcare & Hospitals
GRV100026,"Respected Sir, Illegal water connection Gandhi Nagar mein hone se hamari colony mein paani ka pressure kam ho gaya hai. Otherwise we will protest.",Water Supply
GRV102995,"महोदय, Domicile certificate Shastri Colony mein 3 days se atka hua hai, job application ki deadline nikal rahi hai. कृपया जल्द कार्रवाई करें।",Municipal Certificates
GRV100941,"PF withdrawal request 15 din se pending hai, office se koi response nahi mil raha. Thank you.",Pension & Provident Fund
GRV100845,"सेवानिवृत्ति के बाद पेंशन खाता Varanasi में अपडेट नहीं हुआ, 10 din से चक्कर काट रहे हैं। कृपया जल्द कार्रवाई करें।",Pension & Provident Fund
GRV101597,"Ambulance Nagpur bulane par a month ghante late aayi, emergency case tha. Kripya jald samadhan karein.",Healthcare & Hospitals
GRV100395,"High voltage ki wajah se Napier Town mein kai gharo ke appliance jal gaye, compensation chahiye. Thank you.",Electricity
GRV100099,"Dear officer, पिछले 3 days से हमारे इलाके Bhopal में पानी की सप्लाई बंद है, कृपया जल्दी ठीक करवाएं।",Water Supply
GRV103078,"Respected Sir, निवास प्रमाण पत्र Nagpur कार्यालय से बनवाने में two weeks लग गए, अभी तक हाथ में नहीं मिला। Sadar naman.",Municipal Certificates
GRV101166,"अतिक्रमण Ward 12 में मेरी जमीन पर हुआ है, पटवारी और तहसीलदार को 15 din पहले शिकायत दी थी। Bahut pareshaan hain hum log.",Land Records & Revenue
GRV100801,"Dear officer, PF withdrawal request 3 din se pending h, office se koi response nahi mil raha. Sadar naman.",Pension & Provident Fund
GRV100840,"Respected Sir, मेरी पीएफ की राशि 500 रुपए अभी तक ट्रांसफर नहीं हुई, 3 din हो गए आवेदन दिए। Otherwise we will protest.",Pension & Provident Fund
GRV102894,"Namaste sir, EPFO complaint diya tha 5 din pehle, response nahi aaya Jaipur regional office se. Otherwise we will protest.",Employment & Labour
GRV101485,"Eve teasing Gandhi Nagar area mein badh gayi hai, mahilaye ghar se nikalne mein dari rehti hain.",Police & Law and Order
GRV100847,"Namaste sir, सेवानिवृत्ति के बाद पेंशन खाता Civil Lines में अपडेट नहीं हुआ, a month से चक्कर काट रहे हैं। Bahut pareshaan hain hum log.",Pension & Provident Fund
GRV102211,"मेरे खाते से 500 रुपए गलत तरीके से कट गए Ward 12 शाखा से, वापस दिलवाएं। Kripya jald samadhan karein.",Banking & Financial Services
GRV102243,"Respected Sir, बैंक Kotwali area में सरकारी योजना का पैसा 1000 रुपए अभी तक जमा नहीं हुआ। Sadar naman.",Banking & Financial Services
GRV100509,"Dear officer, सड़क Napier Town में बहुत खराब हालत में है, बारिश में कीचड़ हो जाता है, मरम्मत करवाएं।",Roads & Infrastructure
GRV100037,"महोदय, टंकी का पानी Gwalior में सीवर के पानी से मिल गया है, तुरंत जांच करवाएं। Please take urgent action.",Water Supply
GRV101694,"Sir/Madam, Ambulance Gandhi Nagar bulane par 1 hafta ghante late aayi, emergency case tha. Thank you.",Healthcare & Hospitals
GRV101890,"निजी स्कूल Indore में फीस मनमानी बढ़ाई जा रही है, शिक्षा विभाग कार्रवाई नहीं कर रहा। Thank you.",Education & Schools
GRV101606,"Sir/Madam, सरकारी अस्पताल Raipur में दवाइयां उपलब्ध नहीं हैं, बाहर से खरीदनी पड़ रही है। Sadar naman.",Healthcare & Hospitals
GRV101418,"Respected Sir, पुलिस थाना Kanpur में तैनात कर्मचारी रिश्वत मांग रहा है काम करने के लिए।",Police & Law and Order
GRV102907,"Dear officer, श्रमिक कार्ड Jaipur में one week से renewal ke liye pending hai, yojnaon ka labh nahi mil raha. कृपया जल्द कार्रवाई करें।",Employment & Labour
GRV100189,"Municipal water connection Raipur mein kaat diya gaya bina notice diye, paani ke bina pareshani ho rahi hai. Kripya jald samadhan karein.",Water Supply
GRV102567,"Respected Sir, Bhopal office mein kaam karwane ke liye clerk 10000 rupaye ghoos maang raha hai.",Corruption & Bribery
GRV101468,"महोदय, Eve teasing Napier Town area mein badh gayi hai, mahilaye ghar se nikalne mein dari rehti hain.",Police & Law and Order
GRV101739,"Teacher transfer Bhopal school se 1 hafta pehle hua tha, replacement abhi tak nhi mila, class khali padi h. Bahut pareshaan hain hum log.",Education & Schools
GRV102104,"Ration dukan Gwalior mein tay samay par nhi khulti, logo ko baar baar chakkar lagana padta h. Bahut pareshaan hain hum log.",Ration & Public Distribution System
GRV102542,"महोदय, Bina ghoos diye Kanpur sarkari office mein koi kaam nahi hota, staff khule aam paise maangta hai. Bahut pareshaan hain hum log.",Corruption & Bribery
GRV103041,"विवाह प्रमाण पत्र Wright Town नगर निगम से 10 din में नहीं मिला, दस्तावेज बार बार मांगे जा रहे हैं। Otherwise we will protest.",Municipal Certificates
GRV100183,"Municipal water connection Kanpur mein kaat diya gaya bina notice diye, paani ke bina pareshani ho rahi hai.",Water Supply
GRV100146,"Water quality test chahiye Ranchi area mein, paani ka rang peela aa raha hai 3 din se. Please take urgent action.",Water Supply
GRV101960,"निजी स्कूल Raipur में फीस मनमानी बढ़ाई जा रही है, शिक्षा विभाग कार्रवाई नहीं कर रहा। Bahut pareshaan hain hum log.",Education & Schools
GRV100059,"Dear officer, पानी की टंकी Kotwali area में गंदा पानी आ रहा है, बीमारी फैलने का डर है। Thank you.",Water Supply
GRV101331,"Sir/Madam, मोहल्ले में Varanasi में असामाजिक तत्वों का आतंक है, रात को शराब पीकर हंगामा करते हैं। Bahut pareshaan hain hum log.",Police & Law and Order
GRV102090,"Respected Sir, राशन कार्ड में परिवार के सदस्य का नाम जुड़वाना है, Kotwali area कार्यालय में आवेदन दिया one week पहले।",Ration & Public Distribution System
GRV101131,"Namaste sir, मेरी जमीन का सीमांकन Shastri Colony में गलत हो गया है, पड़ोसी ने कब्जा कर लिया है। Thank you.",Land Records & Revenue
GRV100819,"पेंशन फॉर्म में गलत बैंक खाता नंबर दर्ज हो गया है, कृपया सुधार करें।",Pension & Provident Fund
GRV102881,"Namaste sir, बेरोजगारी भत्ता Patna employment office se a month से नहीं मिला आवेदन के बावजूद। Sadar naman.",Employment & Labour
GRV102092,"महोदय, गरीब परिवारों को Varanasi राशन दुकान से चीनी और तेल कई महीनों से नहीं मिल रहा। Sadar naman.",Ration & Public Distribution System
GRV100320,"महोदय, High voltage ki wajah se Napier Town mein kai gharo ke appliance jal gaye, compensation chahiye. Bahut pareshaan hn hum log.",Electricity
GRV100984,"Respected Sir, PF withdrawal request 20 din se pending hai, office se koi response nahi mil raha. Please take urgent action.",Pension & Provident Fund
GRV100022,"Water supply valve Madan Mahal colony mein kharab hai, sirf ek ghanta paani aata hai roz. Kripya jald samadhan karein.",Water Supply
GRV102694,बेरोजगारी भत्ता Indore employment office se 10 din से नहीं मिला आवेदन के बावजूद। Sadar naman.,Employment & Labour
GRV101191,"महोदय, Land record mein Rajesh Verma ka naam galat likha hai, correction chahiye two weeks se request kar raha hoon. Kripya jald samadhan karein.",Land Records & Revenue
GRV101677,जननी सुरक्षा योजना का पैसा Nagpur अस्पताल से two weeks में नहीं मिला डिलीवरी के बाद। Bahut pareshaan hain hum log.,Healthcare & Hospitals
